asof_dt,ticker,alpha_gt_used,mom_z_tm1,val_z_tm1,z_eng_tm1,u_perp_tm1,capture_tgt
2022-01-04,T000,0.0,,,,,0.15
2022-01-04,T001,0.0,,,,,0.15
2022-01-04,T002,0.0,,,,,0.15
2022-01-04,T003,0.0,,,,,0.15
2022-01-04,T004,0.0,,,,,0.15
2022-01-04,T005,0.0,,,,,0.15
2022-01-04,T006,0.0,,,,,0.15
2022-01-04,T007,0.0,,,,,0.15
2022-01-04,T008,0.0,,,,,0.15
2022-01-04,T009,0.0,,,,,0.15
2022-01-04,T010,0.0,,,,,0.15
2022-01-04,T011,0.0,,,,,0.15
2022-01-04,T012,0.0,,,,,0.15
2022-01-04,T013,0.0,,,,,0.15
2022-01-04,T014,0.0,,,,,0.15
2022-01-04,T015,0.0,,,,,0.15
2022-01-04,T016,0.0,,,,,0.15
2022-01-04,T017,0.0,,,,,0.15
2022-01-04,T018,0.0,,,,,0.15
2022-01-04,T019,0.0,,,,,0.15
2022-01-04,T020,0.0,,,,,0.15
2022-01-04,T021,0.0,,,,,0.15
2022-01-04,T022,0.0,,,,,0.15
2022-01-04,T023,0.0,,,,,0.15
2022-01-04,T024,0.0,,,,,0.15
2022-01-04,T025,0.0,,,,,0.15
2022-01-04,T026,0.0,,,,,0.15
2022-01-04,T027,0.0,,,,,0.15
2022-01-04,T028,0.0,,,,,0.15
2022-01-04,T029,0.0,,,,,0.15
2022-01-04,T030,0.0,,,,,0.15
2022-01-04,T031,0.0,,,,,0.15
2022-01-04,T032,0.0,,,,,0.15
2022-01-04,T033,0.0,,,,,0.15
2022-01-04,T034,0.0,,,,,0.15
2022-01-04,T035,0.0,,,,,0.15
2022-01-04,T036,0.0,,,,,0.15
2022-01-04,T037,0.0,,,,,0.15
2022-01-04,T038,0.0,,,,,0.15
2022-01-04,T039,0.0,,,,,0.15
2022-01-05,T000,0.0,,,,,0.15
2022-01-05,T001,0.0,,,,,0.15
2022-01-05,T002,0.0,,,,,0.15
2022-01-05,T003,0.0,,,,,0.15
2022-01-05,T004,0.0,,,,,0.15
2022-01-05,T005,0.0,,,,,0.15
2022-01-05,T006,0.0,,,,,0.15
2022-01-05,T007,0.0,,,,,0.15
2022-01-05,T008,0.0,,,,,0.15
2022-01-05,T009,0.0,,,,,0.15
2022-01-05,T010,0.0,,,,,0.15
2022-01-05,T011,0.0,,,,,0.15
2022-01-05,T012,0.0,,,,,0.15
2022-01-05,T013,0.0,,,,,0.15
2022-01-05,T014,0.0,,,,,0.15
2022-01-05,T015,0.0,,,,,0.15
2022-01-05,T016,0.0,,,,,0.15
2022-01-05,T017,0.0,,,,,0.15
2022-01-05,T018,0.0,,,,,0.15
2022-01-05,T019,0.0,,,,,0.15
2022-01-05,T020,0.0,,,,,0.15
2022-01-05,T021,0.0,,,,,0.15
2022-01-05,T022,0.0,,,,,0.15
2022-01-05,T023,0.0,,,,,0.15
2022-01-05,T024,0.0,,,,,0.15
2022-01-05,T025,0.0,,,,,0.15
2022-01-05,T026,0.0,,,,,0.15
2022-01-05,T027,0.0,,,,,0.15
2022-01-05,T028,0.0,,,,,0.15
2022-01-05,T029,0.0,,,,,0.15
2022-01-05,T030,0.0,,,,,0.15
2022-01-05,T031,0.0,,,,,0.15
2022-01-05,T032,0.0,,,,,0.15
2022-01-05,T033,0.0,,,,,0.15
2022-01-05,T034,0.0,,,,,0.15
2022-01-05,T035,0.0,,,,,0.15
2022-01-05,T036,0.0,,,,,0.15
2022-01-05,T037,0.0,,,,,0.15
2022-01-05,T038,0.0,,,,,0.15
2022-01-05,T039,0.0,,,,,0.15
2022-01-06,T000,0.0,,,,,0.15
2022-01-06,T001,0.0,,,,,0.15
2022-01-06,T002,0.0,,,,,0.15
2022-01-06,T003,0.0,,,,,0.15
2022-01-06,T004,0.0,,,,,0.15
2022-01-06,T005,0.0,,,,,0.15
2022-01-06,T006,0.0,,,,,0.15
2022-01-06,T007,0.0,,,,,0.15
2022-01-06,T008,0.0,,,,,0.15
2022-01-06,T009,0.0,,,,,0.15
2022-01-06,T010,0.0,,,,,0.15
2022-01-06,T011,0.0,,,,,0.15
2022-01-06,T012,0.0,,,,,0.15
2022-01-06,T013,0.0,,,,,0.15
2022-01-06,T014,0.0,,,,,0.15
2022-01-06,T015,0.0,,,,,0.15
2022-01-06,T016,0.0,,,,,0.15
2022-01-06,T017,0.0,,,,,0.15
2022-01-06,T018,0.0,,,,,0.15
2022-01-06,T019,0.0,,,,,0.15
2022-01-06,T020,0.0,,,,,0.15
2022-01-06,T021,0.0,,,,,0.15
2022-01-06,T022,0.0,,,,,0.15
2022-01-06,T023,0.0,,,,,0.15
2022-01-06,T024,0.0,,,,,0.15
2022-01-06,T025,0.0,,,,,0.15
2022-01-06,T026,0.0,,,,,0.15
2022-01-06,T027,0.0,,,,,0.15
2022-01-06,T028,0.0,,,,,0.15
2022-01-06,T029,0.0,,,,,0.15
2022-01-06,T030,0.0,,,,,0.15
2022-01-06,T031,0.0,,,,,0.15
2022-01-06,T032,0.0,,,,,0.15
2022-01-06,T033,0.0,,,,,0.15
2022-01-06,T034,0.0,,,,,0.15
2022-01-06,T035,0.0,,,,,0.15
2022-01-06,T036,0.0,,,,,0.15
2022-01-06,T037,0.0,,,,,0.15
2022-01-06,T038,0.0,,,,,0.15
2022-01-06,T039,0.0,,,,,0.15
2022-01-07,T000,0.0,,,,,0.15
2022-01-07,T001,0.0,,,,,0.15
2022-01-07,T002,0.0,,,,,0.15
2022-01-07,T003,0.0,,,,,0.15
2022-01-07,T004,0.0,,,,,0.15
2022-01-07,T005,0.0,,,,,0.15
2022-01-07,T006,0.0,,,,,0.15
2022-01-07,T007,0.0,,,,,0.15
2022-01-07,T008,0.0,,,,,0.15
2022-01-07,T009,0.0,,,,,0.15
2022-01-07,T010,0.0,,,,,0.15
2022-01-07,T011,0.0,,,,,0.15
2022-01-07,T012,0.0,,,,,0.15
2022-01-07,T013,0.0,,,,,0.15
2022-01-07,T014,0.0,,,,,0.15
2022-01-07,T015,0.0,,,,,0.15
2022-01-07,T016,0.0,,,,,0.15
2022-01-07,T017,0.0,,,,,0.15
2022-01-07,T018,0.0,,,,,0.15
2022-01-07,T019,0.0,,,,,0.15
2022-01-07,T020,0.0,,,,,0.15
2022-01-07,T021,0.0,,,,,0.15
2022-01-07,T022,0.0,,,,,0.15
2022-01-07,T023,0.0,,,,,0.15
2022-01-07,T024,0.0,,,,,0.15
2022-01-07,T025,0.0,,,,,0.15
2022-01-07,T026,0.0,,,,,0.15
2022-01-07,T027,0.0,,,,,0.15
2022-01-07,T028,0.0,,,,,0.15
2022-01-07,T029,0.0,,,,,0.15
2022-01-07,T030,0.0,,,,,0.15
2022-01-07,T031,0.0,,,,,0.15
2022-01-07,T032,0.0,,,,,0.15
2022-01-07,T033,0.0,,,,,0.15
2022-01-07,T034,0.0,,,,,0.15
2022-01-07,T035,0.0,,,,,0.15
2022-01-07,T036,0.0,,,,,0.15
2022-01-07,T037,0.0,,,,,0.15
2022-01-07,T038,0.0,,,,,0.15
2022-01-07,T039,0.0,,,,,0.15
